,name,hp,hp+,hp5,hp5+,mp,mp+,mp5,mp5+,ad,ad+,as,as+,ar,ar+,mr,mr+,ms,rng,ID,Dificultad,AD,Defensa,AP,Pasiva,Win Rate,Ban Rate,Play Rate
10,Bard,575.0,89.0,5.5,0.55,350.0,50.0,6.0,0.45,52.0,3.0,0.625,2.0,34.0,4.0,30.0,0.5,330.0,500.0,432,9,4,4,5,Traveler's Call,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0012094969702100896, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 4.051325904620098}"
11,Blitzcrank,582.6,95.0,8.5,0.75,267.2,40.0,8.5,0.8,61.54,3.5,0.625,1.13,40.0,3.5,32.1,1.25,325.0,125.0,53,4,4,8,5,Mana Barrier,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.00038600967134364564, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 5.664228715362387}"
12,Brand,519.68,88.0,5.5,0.55,469.0,21.0,10.665,0.6,57.04,3.0,0.625,1.36,21.88,3.5,30.0,0.5,340.0,550.0,63,4,2,2,9,Blaze,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.00319101328310747, <Position.jungle: 'JUNGLE'>: 0.004271840362869679, <Position.middle: 'MIDDLE'>: 0.5467698324692292, <Position.bottom: 'BOTTOM'>: 0.09838099823645048, <Position.utility: 'UTILITY'>: 3.6648272876927503}"
13,Braum,540.0,87.0,8.0,1.0,310.6,45.0,6.0,0.8,55.376,3.2,0.644,3.5,47.0,4.0,32.1,1.25,335.0,125.0,201,3,3,9,4,Concussive Blows,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.000617615474149833, <Position.utility: 'UTILITY'>: 3.1669005456375374}"
14,Caitlyn,481.0,91.0,3.5,0.55,313.7,35.0,7.4,0.55,62.0,2.88,0.568,4.0,28.0,3.5,30.0,0.5,325.0,650.0,51,6,8,2,2,Headshot,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0013896348168371243, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0027792696336742485, <Position.bottom: 'BOTTOM'>: 9.283481127858497, <Position.utility: 'UTILITY'>: 0.0}"
15,Camille,575.6,85.0,8.5,0.8,338.8,32.0,8.15,0.75,68.0,3.5,0.644,2.5,35.0,3.8,32.1,1.25,340.0,125.0,164,4,8,6,3,Adaptive Defenses,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 7.456008407805322, <Position.jungle: 'JUNGLE'>: 0.07843716521702879, <Position.middle: 'MIDDLE'>: 0.28039742526402417, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.01441102773016277}"
16,Cassiopeia,575.0,90.0,5.5,0.5,350.0,40.0,8.0,0.8,53.0,3.0,0.647,1.5,20.0,3.5,30.0,0.5,328.0,550.0,69,10,2,3,9,Serpentine Grace,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.2784931108853955, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 1.537862530633084, <Position.bottom: 'BOTTOM'>: 0.16886636422380016, <Position.utility: 'UTILITY'>: 0.0007205513865081385}"
17,Cho'Gath,574.4,80.0,9.0,0.85,272.2,40.0,7.206,0.45,69.0,4.2,0.625,1.44,38.0,3.5,32.1,1.25,345.0,125.0,31,5,3,7,7,Carnivore,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 2.382168617773995, <Position.jungle: 'JUNGLE'>: 0.13121755427874993, <Position.middle: 'MIDDLE'>: 0.4248165103027268, <Position.bottom: 'BOTTOM'>: 0.11984313596315717, <Position.utility: 'UTILITY'>: 0.04428817629216094}"
18,Corki,518.0,87.0,5.5,0.55,350.16,34.0,7.424,0.55,55.0,2.5,0.638,2.3,28.0,3.5,30.0,0.5,325.0,550.0,42,6,8,3,6,Hextech Munitions,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.04812253902750782, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 2.2578220356451624, <Position.bottom: 'BOTTOM'>: 0.14089353004043065, <Position.utility: 'UTILITY'>: 0.0}"
19,Darius,582.24,100.0,10.0,0.95,263.0,37.5,6.6,0.35,64.0,5.0,0.625,1.0,39.0,4.0,32.1,1.25,340.0,175.0,122,2,9,5,1,Hemorrhage,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 5.773057708703205, <Position.jungle: 'JUNGLE'>: 0.15237088426838172, <Position.middle: 'MIDDLE'>: 0.12015194370023209, <Position.bottom: 'BOTTOM'>: 0.0019557823348078044, <Position.utility: 'UTILITY'>: 0.0}"
20,Diana,594.0,95.0,7.5,0.85,372.0,20.0,8.0,0.8,53.04,3.0,0.625,2.25,31.0,3.6,32.1,1.25,345.0,150.0,131,4,7,6,8,Moonsilver Blade,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.11199427264583638, <Position.jungle: 'JUNGLE'>: 7.746596488392818, <Position.middle: 'MIDDLE'>: 3.2514366636617957, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.00028307375898534013}"
21,Dr. Mundo,582.52,89.0,8.0,0.75,0.0,0.0,0.0,0.0,61.27,3.5,0.625,2.8,36.0,3.5,32.1,1.25,345.0,125.0,36,5,5,7,6,Goes Where He Pleases,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 8.529501303812, <Position.jungle: 'JUNGLE'>: 1.4417203884904268, <Position.middle: 'MIDDLE'>: 0.19665906056054266, <Position.bottom: 'BOTTOM'>: 0.0009006892331351731, <Position.utility: 'UTILITY'>: 0.0911754843713691}"
22,Draven,574.0,88.0,3.75,0.7,360.56,39.0,8.042,0.65,60.0,3.61,0.679,2.7,29.0,3.3,30.0,0.5,330.0,550.0,119,8,9,3,1,League of Draven,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.14820197981787034, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.04871442052356808, <Position.bottom: 'BOTTOM'>: 7.108007822099981, <Position.utility: 'UTILITY'>: 0.0}"
23,Ekko,585.0,85.0,9.0,0.9,280.0,50.0,7.0,0.8,58.0,3.0,0.625,3.3,32.0,3.0,32.0,1.25,340.0,125.0,245,8,5,3,7,Z-Drive Resonance,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.11943139231372396, <Position.jungle: 'JUNGLE'>: 5.268285728476165, <Position.middle: 'MIDDLE'>: 3.908039114617337, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.00028307375898534013}"
24,Elise,534.0,93.0,5.5,0.6,324.0,50.0,6.0,0.8,55.0,3.0,0.625,1.75,27.0,3.35,30.0,0.5,330.0,550.0,60,9,6,5,7,Spider Queen,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0023675259842410265, <Position.jungle: 'JUNGLE'>: 4.952632753229421, <Position.middle: 'MIDDLE'>: 0.0034998210201823868, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.009006892331351731}"
25,Evelynn,572.0,84.0,8.5,0.75,315.6,42.0,8.108,0.6,61.0,3.0,0.667,2.1,37.0,3.5,32.1,1.25,335.0,125.0,28,10,4,2,7,Demon Shade,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.002264590071882721, <Position.jungle: 'JUNGLE'>: 4.4678303399998915, <Position.middle: 'MIDDLE'>: 0.0019043143786286517, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}"
26,Ezreal,491.0,86.0,4.0,0.55,360.6,42.0,8.092,0.65,60.0,2.5,0.625,1.5,22.0,3.5,30.0,0.5,325.0,550.0,81,7,7,2,6,Rising Spell Force,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0914070901741753, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.8131165056963447, <Position.bottom: 'BOTTOM'>: 36.24376047533745, <Position.utility: 'UTILITY'>: 0.011400152293682334}"
27,Fiddlesticks,524.4,80.0,5.5,0.6,500.0,28.0,8.0,0.8,48.36,2.625,0.625,2.11,30.0,3.5,30.0,0.5,335.0,480.0,9,9,2,3,9,A Harmless Scarecrow,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0034998210201823868, <Position.jungle: 'JUNGLE'>: 5.368159297441811, <Position.middle: 'MIDDLE'>: 0.013767678277923362, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.2711074591736871}"
28,Fiora,550.0,85.0,8.5,0.55,300.0,40.0,8.0,0.7,68.0,3.3,0.69,3.2,33.0,3.5,32.1,1.25,345.0,150.0,114,3,10,4,2,Duelist's Dance,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 5.699947476950719, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.13819146234102514, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}"
29,Fizz,570.0,98.0,8.0,0.7,317.2,37.0,6.0,0.8,58.04,3.0,0.658,3.1,22.412,3.4,32.1,1.25,335.0,175.0,105,6,6,4,7,Nimble Fighter,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.08170538043440499, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 3.3011289753527677, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0010550931016726315}"
