Champion;Ability;Type;Description;Range;Cooldown;Cost;Scalings
AKALI;ASSASSIN'S MARK;Passive;Akali's ability damage against enemy champions creates a 500-unit ring around them for 5 seconds, granting her 35/40/45/50% bonus movement speed for 2 seconds while moving towards the edge of the ring. When Akali is outside the ring, she regains the bonus movement speed towards enemy champions and gains Swinging Kama for 4 seconds. Swinging Kama: Akali's next basic attack gains 125 bonus range, deals 39-180 (based on level) (+0.6 per bonus attack damage) (+50% of ability power) bonus magic damage and restores 10/15/20 energy.;;;;(+0.6 per bonus attack damage), (+50% of ability power)
AKALI;FIVE POINT STRIKE;Q;Range: 500 Cooldown: 1.5 Cost: 120/115/110/105/100 Akali throws a flurry of kunais in the target direction, dealing 30/55/80/105/130 (+0.65 per attack damage) (+65% of ability power) magic damage to enemies hit. Enemies hit at maximum range are also slowed by 50% for 0.5 seconds. At rank 5, Five Point Strike deals 25% bonus magic damage to minions and monsters.;500;1.5;120/115/110/105/100;(+0.65 per attack damage), (+65% of ability power)
AKALI;PERFECT EXECUTION;R;Range: 600/750 Cooldown: 100/80/60 Akali dashes at the targeted enemy champion in a range of 675-825 (depending on the distance from the enemy), dealing 125/225/325 (+0.5 per bonus attack damage) physical damage to all enemies she passes through. After 2.5 seconds, Perfect Execution can be reactivated within the following 7.5 seconds, causing Akali to dash in the target direction, dealing 85/150/215 (+30% of ability power) magic damage to enemies hit. This damage is increased by up to 200% for a maximum of 255/450/645 (+90% of ability power) magic damage based on the target's missing health.;600/750;100/80/60;;(+0.5 per bonus attack damage), (+30% of ability power), (+90% of ability power)
AKALI;SHURIKEN FLIP;E;Range: 650 Cooldown: 16/14.5/13/11.5/10 Cost: 30 Akali flips backward and fires a shuriken forward, dealing 50/85/120/155/190 (+0.35 per attack damage) (+50% of ability power) physical damage to the first enemy hit and marking them. If the Shuriken reaches maximum range without hitting an enemy, or kills its enemy, it will mark the last portion of Twilight Shroud hit, if applicable. While a target is marked, Akali can reactivate Shuriken Flip within the next 3 seconds, causing her to dash towards the marked target, dealing 40/70/100/130/160 (+0.35 per attack damage) (+50% of ability power) physical damage.;650;16/14.5/13/11.5/10;30;(+0.35 per attack damage), (+50% of ability power), (+0.35 per attack damage), (+50% of ability power)
AKALI;TWILIGHT SHROUD;W;Range: 250 Cooldown: 20 Akali restores 80 energy and detonates a smoke bomb in the target direction, creating a circular shroud that expands over the next 5 seconds into a ring. The shroud lasts 5/5.5/6/6.5/7 seconds and does not permeate terrain. Entering the shroud renders Akali invisible, gaining 30/35/40/45/50% decaying movement speed for 2 seconds. Akali's basic attacks and abilities will break the invisibility for 1.0 - 0.625 seconds (based on game time, reaching 0.625s at 30 minutes). The marked section of Twilight Shroud's will linger for the mark's duration, even after the shroud ends.;250;20;;
ALISTAR;HEADBUTT;W;Range: 650 Cooldown: 14/13/12/11/10 Cost: 65/70/75/80/85 Alistar dashes to an enemy, taking its position and rams them, dealing 55/110/165/220/275 (+70% of ability power) magic damage and knocking them back a distance of 650.;650;14/13/12/11/10;65/70/75/80/85;(+70% of ability power)
ALISTAR;PULVERIZE;Q;Range: 365 Cooldown: 17/16/15/14/13 Cost: 65/70/75/80/85 Alistar smashes the ground where he is standing, dealing 60/105/150/195/240 (+50% of ability power) magic damage to all enemies in the area and tossing them into the air, knocking them up for 1 second.;365;17/16/15/14/13;65/70/75/80/85;(+50% of ability power)
ALISTAR;TRAMPLE;E;Range: 275 Cooldown: 12/11.5/11/10.5/10 Cost: 50/60/70/80/90 Alistar tramples the ground, dealing 80/110/140/170/200 (+40% of ability power) damage over 5 seconds to nearby enemies, ticking every 0.5 seconds. Every trample pulse that hits at least one enemy champion grants Alistar 1 Trample stack, capped at 5. At 5 Trample stacks, Alistar's next basic attack against a champion deals 35-290 (at levels 1-18) additional magic damage and stuns the target for 1 second.;275;12/11.5/11/10.5/10;50/60/70/80/90;(+40% of ability power)
ALISTAR;TRIUMPHANT ROAR;Passive;Alistar gains Triumph stacks when applying hard crowd control to enemy champions, and when nearby units die. At 7 stacks, Alistar heals himself for 25-161 health (depending on your level) and all nearby allied champions for twice that amount. Triumphant Roar instantly procs whenever an epic monster or enemy champion dies. Once Triumph stacks are consumed, Alistar can gain new stacks immediately (Triumphant Roar still can't proc more than once every 3 seconds).;;;;
ALISTAR;UNBREAKABLE WILL;R;Cooldown: 120/100/80 Cost: 100 On cast, Alistar removes all disables on himself and reduces incoming physical and magic damage by 55/65/75% for 7 seconds.;;120/100/80;100;
AMUMU;BANDAGE TOSS;Q;Range: 1100 Cooldown: 10/9.5/9/8.5/8 Cost: 50/55/60/65/70 Throws a bandage to target location. If it hits an enemy unit, Amumu will pull himself to the enemy, stun them for 1 second, and deal 80/130/180/230/280 (+70% of ability power) magic damage.;1100;10/9.5/9/8.5/8;50/55/60/65/70;(+70% of ability power)
AMUMU;CURSE OF THE SAD MUMMY;R;Range: 550 Cooldown: 150/125/100 Cost: 100/150/200 Amumu entangles surrounding enemy units, rendering them unable to move or use basic attacks for 2 seconds, dealing 150/250/350 (+80% of ability power) magic damage to them upfront. Curse of the Sad Mummy also stops enemies in the middle of their dashes. Curse of the Sad Mummy applies Cursed Touch to enemies after the damage is dealt.;550;150/125/100;100/150/200;(+80% of ability power)
AMUMU;CURSED TOUCH;Passive;Amumu's basic attacks and ultimate apply a curse for 3 seconds, causing 10% of all magic damage dealt to the target (before resists) to be dealt again as true damage. Basic attacks and Despair refresh the curse duration.;;;;
AMUMU;DESPAIR;W;Range: 400 Cooldown: 1 Cost: 8 Toggle: Nearby enemies take 10/15/20/25/30 magic damage plus 1/1.25/1.5/1.75/2 % (+1% per 100 ability power) of their maximum health each second. Ticks for half the damage every half-second. Despair refreshes Cursed Touch on all enemies hit.;400;1;8;(+1% per 100 ability power)
AMUMU;TANTRUM;E;Range: 200 Cooldown: 10/9/8/7/6 Cost: 35 Passive: Amumu takes 2/4/6/8/10 (+ 3% bonus armor) (+ 3% bonus magic resistance) reduced damage from physical attacks. Active: Amumu deals 75/100/125/150/175 (+50% of ability power) magic damage to surrounding units. Each time Amumu is hit by an autoattack, the cooldown on Tantrum's active is reduced by 0.5 seconds.;200;10/9/8/7/6;35;(+ 3% bonus armor), (+ 3% bonus magic resistance), (+50% of ability power)
ANIVIA;CRYSTALLIZE;W;Range: 1000 Cooldown: 17 Cost: 70 Anivia summons an impenetrable wall of ice 400/500/600/700/800 units wide, blocking all movement. The wall lasts for 5 seconds before it melts.;1000;17;70;
ANIVIA;FLASH FROST;Q;"Range: 1100 Cooldown: 10/9.5/9/8.5/8 Cost: 80/90/100/110/120 Anivia brings her wings together and summons a sphere of ice that flies in a target direction. The shard will deal 60/85/110/135/160 (+45% of ability power) magic damage while slowing movement by 20/30/40% (scales with rank of Glacial Storm) for 3 seconds to anyone in its path. The shard will detonate when reaching its max range or if the ability is activated again. When the shard explodes it will deal 60/85/110/135/160 (+45% of ability power) magic damage to all enemies nearby, stunning them for 1.1/1.2/1.3/1.4/1.5 seconds. The magic damage done by both the shard and the detonation is the same and both will apply the ""chilled"" debuff on enemies hit for 3 seconds.";1100;10/9.5/9/8.5/8;80/90/100/110/120;(+45% of ability power), (+45% of ability power)
ANIVIA;FROSTBITE;E;Range: 600 Cooldown: 4 Cost: 50/60/70/80/90 Anivia blasts her target with a freezing wind, dealing 50/75/100/125/150 (+50% of ability power) magic damage. Deals 200% damage to targets recently hit by Flash Frost or a fully formed Glacial Storm.;600;4;50/60/70/80/90;(+50% of ability power)
ANIVIA;GLACIAL STORM;R;Range: 750 Cooldown: 6 Cost: 75 Toggle: Anivia calls forth a driving rain of ice and hail, dealing 40/60/80 (+12.5% of ability power) magic damage per second to all enemies within while slowing their movement speed by 20/30/40% for 1 second and chilling them. Glacial Storm can be recast after 1 second. The blizzard increases in size over 1.5 seconds. At maximum size, enemies within the area take 300% damage and suffer a 50% stronger slow which lasts 1.5 seconds. Glacial Storm deactivates if she gets too far away or runs out of mana. Additionally, Glacial Storm is deactivated by all forms of interrupting crowd control. Once recasted, Anivia deactivates Glacial Storm, dealing one last tick of damage. Costs 40/50/60 mana per second while the storm is active.;750;6;75;(+12.5% of ability power)
ANIVIA;REBIRTH;Passive;Cooldown: 240 Upon dying, Anivia will revert into an egg and will get an armor and magic resistance modifier of -40/-25/-10/+5/+20. These values change at levels 5, 8, 12 and 15. If the egg can survive for six seconds, she is reborn with the same percentage of health that her egg had left. This can only happen once every four minutes regardless of cooldown reduction.;;240;;
ANNIE;DISINTEGRATE;Q;Range: 625 Cooldown: 4 Cost: 60/65/70/75/80 Annie flings a mana infused fireball at her target, dealing 80/115/150/185/220 (+80% of ability power) magic damage. If Disintegrate deals a killing blow, the cooldown is reduced by half and the mana cost is refunded.;625;4;60/65/70/75/80;(+80% of ability power)
ANNIE;INCINERATE;W;Range: 625 Cooldown: 8 Cost: 70/80/90/100/110 Annie casts a cone of fire dealing 70/115/160/205/250 (+85% of ability power) magic damage to all enemy targets in the area.;625;8;70/80/90/100/110;(+85% of ability power)
ANNIE;MOLTEN SHIELD;E;Cooldown: 14/13/12/11/10 Cost: 20 Annie places a shield around herself and Tibbers for 3 seconds, reducing damage taken by 13/17/21/25/29% for the duration while also gaining a 30-60% movement speed bonus (depending on level) which decays over 1.5 seconds. Enemies who use auto attacks on her or Tibbers while the shields are active are dealt 20/30/40/50/60 (+20% of ability power) magic damage.;;14/13/12/11/10;20;(+20% of ability power)
ANNIE;PYROMANIA;Passive;After casting 4 spells, Annie's next offensive spell will stun its target for 1.25/1.5/1.75 seconds. The duration changes every 5 levels.;;;;
ANNIE;SUMMON: TIBBERS;R;Range: 600 Cooldown: 120/100/80 Cost: 100 Annie releases her bear Tibbers from his toy prison, dealing 150/275/400 (+65% of ability power) magic damage to enemy units in the summon area. For the next 45 seconds, Tibbers can move and attack at Annie's will, while continually dealing 20/30/40 (+12% of ability power) magic damage to surrounding enemies. Tibbers has 1200/2100/3000 health, 30/50/70 armor and magic resist and deals 50/75/100 (+15% of ability power) magic damage per auto attack. On summon, using Pyromania on an enemy champion or if Annie dies while Tibbers is summoned, Tibbers becomes enraged, ignoring unit collision and gaining 275% bonus attack speed and 100% bonus movement speed which decays over 3 seconds. In addition, Tibbers regenerates 50% of his missing Health and automatically targets Annie's killer if she dies while he's summoned. While out of combat for at least 5 seconds, Tibbers gains movement speed when moving toward Annie and regenerates 6.0% of his maximum Health every second.;600;120/100/80;100;(+65% of ability power), (+12% of ability power), (+15% of ability power)
APHELIOS;BINDING ECLIPSE;Q;Aphelios expunges all enemies affected by Gravitum's slow, dealing 50/60/70/80/90/100/110 (+0.26-0.35 per bonus attack damage) (+70% of ability power) magic damage (at level 1/3/5/7/9/11/13) and rooting them for 1 second. Each use of the ability will cost 10 Moonlight + 60 Mana. Cooldown: 12/11.7/11.3/11/10.7/10.3/10 (levels 1-13);;12/11.7/11.3/11/10.7/10.3/10;;(+0.26-0.35 per bonus attack damage), (+70% of ability power)
APHELIOS;CALIBRUM, THE SNIPER RIFLE;Passive;Aphelios gains 100 bonus range while Calibrum is his main weapon. Each attack made by Aphelios will consume 1 Moonlight per attack. Enemies damaged by Calibrum via an ability are marked for 4.5 seconds, revealing them for the duration. Aphelios's next basic attack against a marked target uses the current off-hand weapon and gains 1800 range. This attack will consume all marks, dealing 15 (+0.2 per bonus attack damage) bonus physical damage per mark to the initial target (at level 1/3/5/7/9). If Calibrum is the current off-hand weapon, the empowered attack uses the main weapon instead. When Calibrum is assigned, Aphelios can use Moonshot.;;;;(+0.2 per bonus attack damage)
APHELIOS;CRESCENDUM, THE CHAKRAM;Passive;Basic attacks with Crescendum hurl the blade at the target, which lingers for 0.25 seconds before homing back to Aphelios. He is disarmed until he retrieves Crescendum, but the attack timer is reset once caught. Each attack made by Aphelios will consume 1 Moonlight per attack. Whenever Aphelios casts an ability that would require him to throw Crescendum, he instead throws a spectral Chakram at his target that similarly returns to him. Aphelios accumulates the Chakrams he catches, up to 20, which last for 5 seconds. Attacks against champions will refresh the lifespan on Chakrams. Basic attacks with Crescendum hurl all temporary Chakrams at his target, dealing 0-164% of Aphelios' attack damage as bonus physical damage which depends on the number of Chakrams hurled, this can go up to a maximum of 130-223% total attack damage. The bonus damage from Chakrams can critically strike. When Crescendum is assigned, Aphelios can use Sentry.;;;;
APHELIOS;DUSKWAVE;Q;Aphelios unleashes a wave of energy in a cone, dealing 25/31.7/38.3/45/51.7/58.3/65 (+0.56-0.8 per bonus attack damage) (+70% of ability power) physical damage to all enemies hit (at level 1/3/5/7/9/11/13) and locking on to each of them. After a delay, Aphelios then fires a volley of basic attacks from his current off-hand weapon, one at each locked-on enemy. There is no range limit for locked-on targets. Each use of the ability will cost 10 Moonlight + 60 Mana. Cooldown: 9/8.5/8/7.5/7/6.5/6 (levels 1-13);;9/8.5/8/7.5/7/6.5/6;;(+0.56-0.8 per bonus attack damage), (+70% of ability power)
APHELIOS;GRAVITUM, THE GRAVITY CANNON;Passive;Gravitum applies a 30% slow that decays over 3.5 seconds. Each attack made by Aphelios will consume 1 Moonlight per attack. When Gravitum is assigned, Aphelios can use Binding Eclipse.;;;;
APHELIOS;INFERNUM, THE FLAMETHROWER;Passive;Infernum deals 110% physical damage to the target and sprays four firebolts in a cone behind them, each dealing 75/100% physical damage to enemies hit, reduced to 23/30% physical damage against minions (at level 1/9). Each attack made by Aphelios will consume 1 Moonlight per attack. Critical strikes spray eight firebolts over a wider cone and deal bonus damage. When Infernum is assigned, Aphelios can use Duskwave.;;;;
APHELIOS;MOONLIGHT VIGIL;R;Range: 130 Cooldown: 120/110/100 Cost: 100 Aphelios casts forth a lunar spotlight that stops upon illuminating an enemy champion. Alune smites the area centered on the illuminated enemy, dealing 125/175/225 (+0.2 per bonus attack damage) (+100% of ability power) physical damage (at level 6/11/16) and locking-on to each enemy hit. After a delay, basic attacks will begin raining from the sky based on Aphelios' current main weapon, one upon each enemy locked-on by Moonlight Vigil. These attacks can critically strike for bonus physical damage. There is no range limit for locked-on targets. Calibrum: Applies an empowered mark that deals 20/45/70 additional physical damage per mark (at level 6/11/16). Severum: If at least one enemy is hit, Aphelios heals for 200/300/400 health (at level 6/11/16). Gravitum: Enemies are slowed by 99% for the same duration. Infernum: Attacks splashes in a circle instead of a cone, dealing 50/100/150 (+0.3 per bonus attack damage) physical damage instead (at level 6/11/16). Enemies will take damage from overlapping areas. Crescendum: 3 additional spectral chakrams return to Aphelios from the first enemy hit, for a total of 4, on top of those from other enemies hit.;130;120/110/100;100;(+0.2 per bonus attack damage), (+100% of ability power), (+0.3 per bonus attack damage)
APHELIOS;MOONLIGHT VIGIL, CALIBRUM;R;Cooldown: 120/110/100 Cost: 100 Aphelios casts forth a lunar spotlight that stops upon illuminating an enemy champion. Alune smites the area centered on the illuminated enemy, dealing physical damage and locking-on to each enemy hit. After a delay, basic attacks will begin raining from the sky based on Aphelios' current main weapon, one upon each enemy locked-on by Moonlight Vigil. Calibrum: Applies an empowered mark that deals 20/45/70 additional physical damage per mark (at level 6/11/16).;;120/110/100;100;
APHELIOS;MOONLIGHT VIGIL, CRESCENDUM;R;Cooldown: 120/110/100 Cost: 100 Aphelios casts forth a lunar spotlight that stops upon illuminating an enemy champion. Alune smites the area centered on the illuminated enemy, dealing physical damage and locking-on to each enemy hit. After a delay, basic attacks will begin raining from the sky based on Aphelios' current main weapon, one upon each enemy locked-on by Moonlight Vigil. Crescendum: 3 additional spectral chakrams return to Aphelios from the first enemy hit, for a total of 4, on top of those from other enemies hit.;;120/110/100;100;
APHELIOS;MOONLIGHT VIGIL, GRAVITUM;R;Cooldown: 120/110/100 Cost: 100 Aphelios casts forth a lunar spotlight that stops upon illuminating an enemy champion. Alune smites the area centered on the illuminated enemy, dealing physical damage and locking-on to each enemy hit. After a delay, basic attacks will begin raining from the sky based on Aphelios' current main weapon, one upon each enemy locked-on by Moonlight Vigil. Gravitum: Enemies are slowed by 99% for the same duration.;;120/110/100;100;
APHELIOS;MOONLIGHT VIGIL, INFERNUM;R;Cooldown: 120/110/100 Cost: 100 Aphelios casts forth a lunar spotlight that stops upon illuminating an enemy champion. Alune smites the area centered on the illuminated enemy, dealing physical damage and locking-on to each enemy hit. After a delay, basic attacks will begin raining from the sky based on Aphelios' current main weapon, one upon each enemy locked-on by Moonlight Vigil. Infernum: Attacks splashes in a circle instead of a cone, dealing 50/100/150 (+0.25 per bonus attack damage) in physical damage instead (at level 6/11/16). Attacks splash in a 400 unit circle instead of a cone, dealing 75% of that damage. Enemies will take damage from overlapping areas.;;120/110/100;100;(+0.25 per bonus attack damage)
APHELIOS;MOONLIGHT VIGIL, SEVERUM;R;Cooldown: 120/110/100 Cost: 100 Aphelios casts forth a lunar spotlight that stops upon illuminating an enemy champion. Alune smites the area centered on the illuminated enemy, dealing physical damage and locking-on to each enemy hit. After a delay, basic attacks will begin raining from the sky based on Aphelios' current main weapon, one upon each enemy locked-on by Moonlight Vigil. Severum: If at least one enemy is hit, Aphelios heals for 200/300/400 health (at level 6/11/16).;;120/110/100;100;
APHELIOS;MOONSHOT;Q;Aphelios fires a bolt of energy in a line, dealing 60/76.7/93.3/110/126.7/143.3/160 (+0.42-0.6 per bonus attack damage) (+100% of ability power) physical damage to the first enemy hit (at level 1/3/5/7/9/11/13). Each use of the ability will cost 10 Moonlight + 60 Mana. Cooldown: 10/9.7/9.3/9/8.7/8.3/8 (levels 1-13);;10/9.7/9.3/9/8.7/8.3/8;;(+0.42-0.6 per bonus attack damage), (+100% of ability power)
APHELIOS;ONSLAUGHT;Q;For 1.75 seconds, Aphelios gains 20% (+10% per 100 ability power) bonus movement speed and autonomously performs up to 6 (+3 per 100% bonus attack speed) attacks over the duration to the nearest enemy, prioritizing enemy champions. Attacks alternate between Severum and his current off-hand weapon, each dealing 10/13.3/16.7/20/23.3/26.7/30 (+0.21-0.3 per bonus attack damage) physical damage (at level 1/3/5/7/9/11/13), 25% on-hit damage and can critically strike. This will consume Moonlight from Severum regardless of whether the attacks are used. Each use of the ability will cost 10 Moonlight + 60 Mana. Cooldown: 10/9.7/9.3/9/8.7/8.3/8 (levels 1-13);;10/9.7/9.3/9/8.7/8.3/8;;(+10% per 100 ability power), (+3 per 100% bonus attack speed), (+0.21-0.3 per bonus attack damage)
APHELIOS;PHASE;W;Cooldown: 0.8 Aphelios switches between his main weapon and off-hand weapon.;;0.8;;
APHELIOS;SENTRY;Q;Aphelios deploys a lunar sentry for up to 20 seconds, reduced to 4 seconds after it starts attacking. Deploying a new sentry reduces the eldest's duration to 4 seconds. A sentry has 6 health and take 3 damage per ranged basic attack and 4 damage per AoE ability. The sentry autonomously attacks the nearest enemy in range with a clone of Aphelios' current off-hand weapon, dealing 25/35/45/55/65/75/85 (+0.35-0.5 per bonus attack damage) (+50% of ability power) physical damage (at level 1/3/5/7/9/11/13). The sentry can critically strike and benefits from Aphelios' attack speed and critical strike chance. Each use of the ability will cost 10 Moonlight + 60 Mana. Cooldown: 9/8.5/8/7.5/7/6.5/6 (levels 1-13);;9/8.5/8/7.5/7/6.5/6;;(+0.35-0.5 per bonus attack damage), (+50% of ability power)
APHELIOS;SEVERUM, THE SCYTHE PISTOL;Passive;Basic attacks with Severum don't use projectiles. Each attack made by Aphelios will consume 1 Moonlight per attack. Severum's attacks heal him for 3−20% of damage dealt (depending on level). Healing from Severum in excess of Aphelios' maximum health is converted into a shield which absorbs up to 10−140 (+6% of maximum health) damage (depending on level) and lasts for up to 30 seconds. When Severum is assigned, Aphelios can use Onslaught.;;;;(+6% of maximum health)
APHELIOS;THE HITMAN AND THE SEER;Passive;Aphelios has access to an arsenal of 5 Moonstone Weapons, created by his sister Alune. He equips two weapons at any one time, one as his main weapon and one as his off-hand. Each weapon has a unique basic attack and passive effect. Aphelios begins the game with Calibrum as his main weapon and Severum in his off-hand, with Gravitum, Infernum and Crescendum queued in reserve. The queue order can be rearranged based on weapon usage. Weapons spawn with 50 Moonlight for ammunition, which is consumed on basic attacks or to cast his Q abilities. Abilities that cause Aphelios to attack do not cost additional Moonlight on top of their ability cost. Once his main weapon is exhausted of Moonlight, it is moved to the end of the queue and Aphelios equips the next available weapon from his reserve. Aphelios cannot improve his abilities with skill points. He starts the game with Phase and gains access to Q abilities at level 2. He gains access to Moonlight Vigil at level 6, which improves automatically at levels 11 and 16. Instead, Aphelios may spend his skill points to gain either 4/8/12/16/20/24 bonus attack damage, 6/12/18/24/30/36% bonus attack speed or 2/4/6/8/10/12 lethality.;;;;
ASHE;ENCHANTED CRYSTAL ARROW;R;Cooldown: 100/90/80 Cost: 100 Ashe fires a missile of ice in a straight line that will pass over all other units until it collides with an enemy Champion or leaves the map. If the arrow collides with an enemy Champion, it will deal 200/400/600 (+100% of ability power) magic damage, stun and add a slow to the champion hit. It will also explode after the hit to slow and deal half damage to all other enemies in a small area around the champion hit. The duration of the stun increases the farther the arrow travels before impact and caps at 3.5 seconds. Both slows are equal to Frost Shot's current value and last for 3 seconds.;;100/90/80;100;(+100% of ability power)
ASHE;FROST SHOT;Passive;Ashe's basic attacks and damaging abilities apply Frost, slowing targets by 20-30% (at levels 1-18, increasing every 3 levels) for 2 seconds and causing subsequent basic attacks against them to deal 10 (+ critical strike chance × (1 + bonus critical damage))% bonus physical damage while they remain slowed. Ashe's Critical Strikes deal 100% of her total attack damage (instead of 200%), but double the effectiveness of Frost Shot, decaying down to the normal slow over 1 second.;;;;(+ critical strike chance × (1 + bonus critical damage)
ASHE;HAWKSHOT;E;Cooldown: 5 Ashe sends her Hawk Spirit on a scouting mission to a target area in the map, revealing terrain as it travels in a straight line and granting vision of the target area for 5 seconds. The Hawk Spirit will reveal units in the brush but will not reveal stealthed units or objects. Ashe store up to 2 charges of Hawkshot at a time (recharge time: 90/80/70/60/50 seconds).;;5;;
ASHE;RANGER'S FOCUS;Q;Cost: 50 Ashe's basic attacks grant Focus, stacking up to 4 times. Stacks last for 4 seconds, after which they fall off one at a time every second. Once Ashe reaches 4 stacks, she can activate Ranger's Focus to consume all Focus stacks, granting 20/30/40/50/60% Attack Speed and replacing Ashe's basic attacks with a flurry of arrows resulting in 1.05/1.10/1.15/1.20/1.25 of her Total Attack Damage per attack for 4 seconds.;;;50;
ASHE;VOLLEY;W;Range: 1200 Cooldown: 14/11.5/9/6.5/4 Cost: 70 Ashe fires 9 arrows in a cone, dealing 20/35/50/65/80 (+1.0 per attack damage) physical damage to each target hit. Enemies can be hit by multiple arrows, but will only take damage from the first one. Volley automatically critically strikes against enemy champions, applying a slow equal to double the current value of Frost Shot.;1200;14/11.5/9/6.5/4;70;(+1.0 per attack damage)
AURELION SOL;CELESTIAL EXPANSION;W;Cooldown: 8/6.5/5/3.5/2 Cost: 70/80/90/100/110 Passive: The damage dealt by Aurelion Sol's stars is increased by 5/10/15/20/25. Active: Aurelion Sol pushes his stars out to the Outer Limit, increasing the damage dealt by the stars by 40% while rotating them at a high but decaying speed. Upon reactivation or after 3 seconds, Aurelion Sol pulls his stars back and gains 40% bonus movement speed which decays over 1.5 seconds.;;8/6.5/5/3.5/2;70/80/90/100/110;
AURELION SOL;CENTER OF THE UNIVERSE;Passive;Three stars constantly orbit Aurelion Sol, dealing 12-120 (at levels 1-18) (+5/10/15/20/25, depending on rank of Celestial Expansion) (+25% of ability power) magic damage and executing minions below 25 Health, while applying spell effects to all enemies they strike.;;;;(+5/10/15/20/25, depending on rank of Celestial Expansion), (+25% of ability power)
